townname,state_id
Fayetteville ,4
Fort Smith ,4
Jonesboro ,4
Little Rock ,4
North Little Rock ,4
Pine Bluff ,4
Rogers ,4
Aurora ,6
Colorado Springs ,6
Denver ,6
Fort Collins ,6
Grand Junction ,6
Greeley ,6
Highlands Ranch ,6
Lakewood ,6
Littleton ,6
Longmont ,6
Pueblo ,6
Ansonia ,7
Branford ,7
Bridgeport ,7
Bristol ,7
Cheshire ,7
Danbury ,7
Darien ,7
Enfield ,7
Fairfield ,7
Farmington ,7
Glastonbury ,7
Greenwich ,7
Hamden ,7
Hartford ,7
Manchester ,7
Meriden ,7
Middletown ,7
Milford ,7
New Britain ,7
New Haven ,7
New London ,7
New Milford ,7
Norwalk ,7
Norwich ,7
Old Saybrook ,7
Ridgefield ,7
Simsbury ,7
Stamford ,7
Stratford ,7
Torrington ,7
Trumbull ,7
Wallingford ,7
Waterbury ,7
West Hartford ,7
West Haven ,7
Windsor ,7
Windsor Locks ,7
Dover ,8
Georgetown ,8
Hockessin ,8
Lewes ,8
Middletown ,8
Milford ,8
Millsboro ,8
New Castle ,8
Newark ,8
Ocean View ,8
Seaford ,8
Smyrna ,8
Wilmington ,8
Albany ,10
Athens ,10
Atlanta ,10
Augusta ,10
Brunswick ,10
Canton ,10
Carrollton ,10
Columbus ,10
Conyers ,10
Covington ,10
Cumming ,10
Gainesville ,10
Griffin ,10
Lawrenceville ,10
Macon ,10
Marietta ,10
Riverdale ,10
Rome ,10
Roswell ,10
Savannah ,10
Smyrna ,10
Snellville ,10
Stockbridge ,10
Suwanee ,10
Tucker ,10
Valdosta ,10
Warner Robins ,10
Woodstock ,10
Boise ,12
Coeur D Alene ,12
Idaho Falls ,12
Meridian ,12
Pocatello ,12
Alton ,13
Arlington Heights ,13
Aurora ,13
Barrington ,13
Batavia ,13
Belleville ,13
Bloomington ,13
Calumet City ,13
Champaign ,13
Chicago ,13
Collinsville ,13
Crystal Lake ,13
Decatur ,13
Edwardsville ,13
Elgin ,13
Elmhurst ,13
Evanston ,13
Glen Carbon ,13
Glenview ,13
Granite City ,13
Gurnee ,13
Hinsdale ,13
Hoffman Estates ,13
Joliet ,13
Lake Forest ,13
Lake Zurich ,13
Lombard ,13
McHenry ,13
Moline ,13
Naperville ,13
O Fallon ,13
Oak Lawn ,13
Oak Park ,13
Orland Park ,13
Palatine ,13
Park Ridge ,13
Peoria ,13
Plainfield ,13
Rockford ,13
Skokie ,13
Springfield ,13
St. Charles ,13
Tinley Park ,13
Vernon Hills ,13
Yorkville ,13
Carmel ,14
Crawfordsville ,14
Evansville ,14
Fishers ,14
Fort Wayne ,14
Greenfield ,14
Greenwoo ,14
Indianapolis ,14
La Porte ,14
Lafayette ,14
Marion ,14
Merrillville ,14
Mishawak ,14
Muncie ,14
New Albany ,14
Portage ,14
Richmond ,14
Terre Haute ,14
Valparaiso ,14
Cedar Falls ,15
Coralville ,15
Davenport ,15
Des Moines ,15
Iowa City ,15
Muscatine ,15
Sioux City ,15
Urbandale ,15
Kansas City ,16
Leawood ,16
Manhattan ,16
Olathe ,16
Overland Park ,16
Salina ,16
Topeka ,16
Wichita ,16
Ashland ,17
Elizabethtown ,17
Frankfort ,17
Lexington ,17
Louisville ,17
Owensboro ,17
Paducah ,17
Richmond ,17
Baton Rouge ,18
Covington ,18
Denham Springs ,18
Gretna ,18
Hammond ,18
Houma ,18
Kenner ,18
Lafayette ,18
Lake Charles ,18
Mandeville ,18
Marrero ,18
Metairie ,18
New Iberia ,18
New Orleans ,18
Shreveport ,18
Slidell ,18
West Monroe ,18
Augusta ,19
Bangor ,19
Lewiston ,19
Portland ,19
Aberdeen ,20
Annapolis ,20
Baltimore ,20
Bel Air ,20
Berlin ,20
Berwyn Heights ,20
Bethesda ,20
